Id,SalePrice
1461,125000
1462,145000
1463,192000
1464,189000
1465,153900
1466,178000
1467,134000
1468,180000
1469,167000
1470,110000
1471,278000
1472,88000
1473,88000
1474,148500
1475,110000
1476,582933
1477,233170
1478,315000
1479,230000
1480,386250
1481,255000
1482,202500
1483,200141
1484,160200
1485,180000
1486,183500
1487,274900
1488,232000
1489,208300
1490,239686
1491,180000
1492,115000
1493,190000
1494,337000
1495,262280
1496,197000
1497,151000
1498,151000
1499,151000
1500,147400
1501,168500
1502,148800
1503,224000
1504,226000
1505,189000
1506,190000
1507,290000
1508,190000
1509,140000
1510,140000
1511,157000
1512,167000
1513,112000
1514,125000
1515,175000
1516,215000
1517,148000
1518,124000
1519,179200
1520,135000
1521,148000
1522,167000
1523,109000
1524,120000
1525,128900
1526,128900
1527,105900
1528,120000
1529,155000
1530,139000
1531,131000
1532,115000
1533,154000
1534,115000
1535,125500
1536,144000
1537,60000
1538,189950
1539,325000
1540,122500
1541,125500
1542,162900
1543,110000
1544,68500
1545,89000
1546,131000
1547,113000
1548,132500
1549,134900
1550,141500
1551,125000
1552,178000
1553,109500
1554,135000
1555,165000
1556,131000
1557,60000
1558,110000
1559,67000
1560,112000
1561,80000
1562,127000
1563,110000
1564,135960
1565,154000
1566,260000
1567,76000
1568,190000
1569,170000
1570,130500
1571,140000
1572,129000
1573,190000
1574,60000
1575,275000
1576,201000
1577,194000
1578,177000
1579,148000
1580,180000
1581,128200
1582,112500
1583,350000
1584,189000
1585,144000
1586,107500
1587,140000
1588,125000
1589,125500
1590,125000
1591,120000
1592,100000
1593,110000
1594,142953
1595,108000
1596,131500
1597,154300
1598,175000
1599,136500
1600,189000
1601,60000
1602,112000
1603,55993
1604,235000
1605,230000
1606,171500
1607,136905
1608,227680
1609,186000
1610,167500
1611,160000
1612,185500
1613,145000
1614,83500
1615,83500
1616,75000
1617,88000
1618,127000
1619,144000
1620,189000
1621,110000
1622,129000
1623,213000
1624,165000
1625,128900
1626,180500
1627,181000
1628,248000
1629,168500
1630,278000
1631,278000
1632,278000
1633,180000
1634,175000
1635,174000
1636,176000
1637,179900
1638,195000
1639,178000
1640,187500
1641,82500
1642,226000
1643,226000
1644,212000
1645,160000
1646,152000
1647,175500
1648,126500
1649,149900
1650,120500
1651,120500
1652,83000
1653,83000
1654,155000
1655,127500
1656,146000
1657,146000
1658,146000
1659,127000
1660,149000
1661,485000
1662,269500
1663,315000
1664,555000
1665,295493
1666,315000
1667,303477
1668,235128
1669,315000
1670,315500
1671,220000
1672,501837
1673,309000
1674,232000
1675,185850
1676,196000
1677,224000
1678,555000
1679,315000
1680,319900
1681,266000
1682,315000
1683,171750
1684,163990
1685,174000
1686,160200
1687,180000
1688,195000
1689,183500
1690,180000
1691,188500
1692,248000
1693,184100
1694,183200
1695,180000
1696,214000
1697,180000
1698,325000
1699,213250
1700,213000
1701,271000
1702,248328
1703,232000
1704,297000
1705,202500
1706,611657
1707,250580
1708,250580
1709,256300
1710,209500
1711,252000
1712,216837
1713,297000
1714,214000
1715,186500
1716,142500
